video_id,youtube_id,label,benchmark,domain,sub_category,duration_type,total_sec,total_frames,full_mu,full_sigma,full_peak_count,full_autocorr,s1_mu,s1_sigma,s1_peak_count,s1_autocorr,s1_mu_diff,s1_sigma_diff,s2_mu,s2_sigma,s2_peak_count,s2_autocorr,s2_mu_diff,s2_sigma_diff,s3_mu,s3_sigma,s3_peak_count,s3_autocorr,s3_mu_diff,s3_sigma_diff,status,error_msg,processed_at
322,UZTf3OXJDWA,knowledge_biology_medicine_medium,video_mme,Knowledge,Biology & Medicine,medium,844.0,844.0,0.929101,0.062783,7.8292,0.354821,0.890571,0.084888,10.1695,0.17193,-0.03853,0.022105,0.90421,0.085426,8.1356,-0.020126,-0.024891,0.022643,0.91875,0.078561,5.0847,-0.069505,-0.010351,0.015778,success,,2026-04-16 05:12:31
323,URUJD5NEXC8,knowledge_biology_medicine_medium,video_mme,Knowledge,Biology & Medicine,medium,441.0,441.0,0.923936,0.093808,7.9091,0.208106,0.917728,0.095157,10.1695,0.140111,-0.006208,0.001349,0.91513,0.111592,8.1356,0.182572,-0.008806,0.017784,0.90969,0.106559,10.1695,0.148945,-0.014246,0.012751,success,,2026-04-16 05:13:21
381,GWNzRtKzIRA,knowledge_technology_medium,video_mme,Knowledge,Technology,medium,338.0,338.0,0.909218,0.146928,8.1899,-0.067645,0.869435,0.169735,9.1525,-0.013048,-0.039783,0.022807,0.89138,0.142346,10.1695,-0.201592,-0.017838,-0.004582,0.911439,0.11383,9.1525,-0.059455,0.002221,-0.033098,success,,2026-04-16 05:13:53
382,6DAFkaGUiT4,knowledge_technology_medium,video_mme,Knowledge,Technology,medium,396.0,396.0,0.86342,0.153576,10.6329,-0.012742,0.771748,0.167312,12.2034,-0.075099,-0.091672,0.013736,0.860661,0.149377,11.1864,0.445606,-0.002759,-0.004199,0.816018,0.160219,11.1864,0.24853,-0.047402,0.006643,success,,2026-04-16 05:14:31
383,e3fz3dqhN44,knowledge_technology_medium,video_mme,Knowledge,Technology,medium,1020.0,1020.0,0.828004,0.16535,10.9519,0.138311,0.737774,0.220832,14.2373,0.281854,-0.09023,0.055482,0.738953,0.179876,12.2034,0.131295,-0.089051,0.014526,0.827728,0.15468,9.1525,0.021156,-0.000276,-0.01067,success,,2026-04-16 05:15:52
341,tBVUTFPate0,knowledge_astronomy_medium,video_mme,Knowledge,Astronomy,medium,521.0,521.0,0.923579,0.048434,7.0385,0.347683,0.922575,0.076974,5.0847,-0.013689,-0.001004,0.02854,0.895215,0.08554,8.1356,0.257345,-0.028364,0.037106,0.932789,0.0737,3.0508,-0.091422,0.00921,0.025266,success,,2026-04-16 05:17:12
343,sf4qRY3h_eo,knowledge_astronomy_medium,video_mme,Knowledge,Astronomy,medium,881.0,881.0,0.972176,0.057638,3.2045,0.097911,0.949109,0.104962,3.0508,0.065708,-0.023067,0.047324,0.960711,0.101513,3.0508,-0.046087,-0.011465,0.043875,0.956841,0.102378,2.0339,-0.000674,-0.015335,0.04474,success,,2026-04-16 05:18:22
344,GQEYGAJIzAM,knowledge_astronomy_medium,video_mme,Knowledge,Astronomy,medium,664.0,664.0,0.840513,0.173765,11.8552,-0.124973,0.78648,0.177187,13.2203,-0.268404,-0.054033,0.003422,0.818591,0.143395,11.1864,0.07961,-0.021922,-0.03037,0.839594,0.162362,12.2034,-0.107534,-0.000919,-0.011403,success,,2026-04-16 05:21:37
521,qJGqZ_g__So,life_record_handicraft_medium,video_mme,Life Record,Handicraft,medium,713.0,713.0,0.946055,0.079481,4.8034,0.239082,0.891674,0.148317,10.1695,-0.054328,-0.054381,0.068836,0.893674,0.13125,8.1356,-0.042601,-0.052381,0.051769,0.935095,0.100904,4.0678,-0.025263,-0.01096,0.021423,success,,2026-04-16 05:23:26
522,0ag_Qi5OEd0,life_record_handicraft_medium,video_mme,Life Record,Handicraft,medium,488.0,488.0,0.921609,0.044203,7.1458,0.403709,0.901737,0.073497,6.1017,0.426038,-0.019872,0.029294,0.894793,0.068552,5.0847,0.396512,-0.026816,0.024349,0.901312,0.07733,7.1186,0.444814,-0.020297,0.033127,success,,2026-04-16 05:24:13
